#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_bo;Bo;Bo;Bo;;Bo;;;;;;;;;x
c_bo_adj;Bian;;ber;;;;;;;;;;;x
c_bong;Bong;Bong;Bong;;Bong;;;;;;;;;x
c_bong_adj;Bongian;;bonger;;;;;;;;;;;x
c_bonthe;Bonthe;Bonthe;Bonthe;;Bonthe;;;;;;;;;x
c_bonthe_adj;Bonthean;;bonther;;;;;;;;;;;x
c_gbarpolu;Gbarpolu;Gbarpolu;Gbarpolu;;Gbarpolu;;;;;;;;;x
c_gbarpolu_adj;Gbarpolian;;gbarpoler;;;;;;;;;;;x
c_gedeh;Gedeh;Gedeh;Gedeh;;Gedeh;;;;;;;;;x
c_gedeh_adj;Gedehian;;gedeher;;;;;;;;;;;x
c_gee;Gee;Gee;Gee;;Gee;;;;;;;;;x
c_gee_adj;Geean;;ger;;;;;;;;;;;x
c_grand_bassa;Grand Bassa;Grand Bassa;Grand Bassa;;Grand Bassa;;;;;;;;;x
c_grand_bassa_adj;Grand Bassan;;Grand Basser;;;;;;;;;;;x
c_grand_cape;Grand Cape;Grand Cape;Grand Cape;;Grand Cape;;;;;;;;;x
c_grand_cape_adj;Grand Capean;;Grand Caper;;;;;;;;;;;x
c_kenema;Kenema;Kenema;Kenema;;Kenema;;;;;;;;;x
c_kenema_adj;Keneman;;kenemer;;;;;;;;;;;x
c_kono;Kono;Kono;Kono;;Kono;;;;;;;;;x
c_kono_adj;Konian;;koner;;;;;;;;;;;x
c_lofa;Lofa;Lofa;Lofa;;Lofa;;;;;;;;;x
c_lofa_adj;Lofan;;lofer;;;;;;;;;;;x
c_maryland;Maryland;Maryland;Maryland;;Maryland;;;;;;;;;x
c_maryland_adj;Marylandian;;marylander;;;;;;;;;;;x
c_monrovia;Monrovia;Monrovia;Monrovia;;Monrovia;;;;;;;;;x
c_monrovia_adj;Monrovian;;monrover;;;;;;;;;;;x
c_nimba;Nimba;Nimba;Nimba;;Nimba;;;;;;;;;x
c_nimba_adj;Nimban;;nimber;;;;;;;;;;;x
c_nzerekore;Nzérékoré;Nzérékoré;Nzérékoré;;Nzérékoré;;;;;;;;;x
c_nzerekore_adj;Nzérékoréian;;nzérékoréer;;;;;;;;;;;x
c_pujehun;Pujehun;Pujehun;Pujehun;;Pujehun;;;;;;;;;x
c_pujehun_adj;Pujehunian;;pujehuner;;;;;;;;;;;x
c_river_cess;River Cess;River Cess;River Cess;;River Cess;;;;;;;;;x
c_river_cess_adj;River Cessian;;River Cesser;;;;;;;;;;;x
c_sinoe;Sinoe;Sinoe;Sinoe;;Sinoe;;;;;;;;;x
c_sinoe_adj;Sinoean;;siner;;;;;;;;;;;x
