###########Cultures###########

asante;Asante;;;;;;;;;;;;;x
baoule;Baoulé;;;;;;;;;;;;;x
bubi;Bubi;;;;;;;;;;;;;x
dagomba;Dagomba;;;;;;;;;;;;;x
ewe;Ewe;;;;;;;;;;;;;x
fante;Fante;;;;;;;;;;;;;x
fulbe;Fulbe;;;;;;;;;;;;;x
ga;Ga;;;;;;;;;;;;;x
guinensi;Guinensi;;;;;;;;;;;;;x
jola;Jola;;;;;;;;;;;;;x
kpelle;Kpelle;;;;;;;;;;;;;x
krio;Krio;;;;;;;;;;;;;x
kru;Kru;;;;;;;;;;;;;x
kwi;Kwi;;;;;;;;;;;;;x
manding;Manding;;;;;;;;;;;;;x
mende;Mende;;;;;;;;;;;;;x
mossi;Mossi;;;;;;;;;;;;;x
senufo;Senufo;;;;;;;;;;;;;x
serer;Serer;;;;;;;;;;;;;x
songhai;Songhai;;;;;;;;;;;;;x
soninke;Soninke;;;;;;;;;;;;;x
susu;Susu;;;;;;;;;;;;;x
temne;Temne;;;;;;;;;;;;;x
tuareg;Tuareg;;;;;;;;;;;;;x
verdean;Verdean;;;;;;;;;;;;;x
wolof;Wolof;;;;;;;;;;;;;x

##Gods
GOD_JOHN_BROWN;John Brown;;;;;;;;;;;;;x
THE_ENSLAVERS;the Enslavers;;;;;;;;;;;;;x
