EVTDESCmisc_traits.5;When you talk, other children your age stop and listen. You decide to try and speak in that tone to the adults as well...;Lorsque vous parlez, les enfants de votre âge arrêtent tout pour vous écouter. Vous décidez d’essayer ce même ton avec les adultes…;;;Cuando habláis, los otros niños se callan y escuchan, así que habéis decidido intentar hablar así a todo el mundo…;;;;;;;;;x
EVTDESCmisc_traits.6;[From.GetTitledFirstName] adopts a very authoritative tone of voice with everyone, including [From.GetHerHis] elders and you.;[From.GetTitledFirstName] adopte un ton très autoritaire avec n'importe qui, y compris ses aînés et vous-même.;;;[From.GetTitledFirstName] ha empezado a hablar de manera autoritaria a todo el mundo, incluidos sus mayores e incluso a vos.;;;;;;;;;x
EVTOPTAmisc_traits.6;Good to see [From.GetTitledFirstName] acts like the noble [From.GetSheHe] is, and not like the common riff-raff.;Une bonne chose, [From.GetTitledFirstName] se conduit comme le(a) noble qu'[From.GetSheHe] est et pas comme la racaille du commun.;;;Está bien que [From.GetTitledFirstName] se comporte como el noble que es y no como la gente común;;;;;;;;;x
EVTOOLTIPmisc_traits.7;[From.GetTitledFirstName] will become more authoritative.;[From.GetTitledFirstName] va devenir plus autoritaire.;;;[From.GetTitledFirstName] será más autoritario;;;;;;;;;x
EVTOPTBmisc_traits.6;Better not use that tone with me KID!;Il vaudrait mieux ne pas utiliser ce ton-là avec moi, petit(e) !;;;¡No uses ese tono conmigo Niño!;;;;;;;;;x
EVTOOLTIPmisc_traits.8;You slap [From.GetTitledFirstName].;Vous giflez [From.GetTitledFirstName].;;;Abofeteáis a [From.GetTitledFirstName].;;;;;;;;;x
EVTDESCmisc_traits.7;[From.GetTitledFirstName] encourages me to be more authoritative.;[From.GetTitledFirstName] m'encourage à être plus autoritaire.;;;[From.GetTitledFirstName] me anima a que sea más autoritario.;;;;;;;;;x
EVTDESCmisc_traits.8;[From.GetTitledFirstName] slaps me and tells me not to talk to my elders and superiors in that tone.;[From.GetTitledFirstName] m'a donné une gifle et m'a dit de ne plus parler ainsi à mes aînés et supérieurs.;;;[From.GetTitledFirstName] me abofeteó y me dijo que no use ese tono con mis mayores o superiores.;;;;;;;;;x
authoritative;Authoritative;Autoritaire;;;Autoritario;;;;;;;;;x
authoritative_desc;When this character speaks, they speak with a natural authoritative tone;Lorsque ce personnage parle, il s'exprime avec un ton naturellement autoritaire;;;Cuando este personaje habla, siempre lo hace con un tono natural de autoridad;;;;;;;;;x
rude;Rude;Grossier;;;Grosero;;;;;;;;;x
rude_desc;This character uses very inappropriate language!;Ce personnage utilise un langage inapproprié !;;;¡Este personaje utiliza un lenguaje inapropiado!;;;;;;;;;x
EVTDESCmisc_traits.9;You have great fun provoking people with rude remarks.;Vous avez grand plaisir à provoquer les gens avec des remarques grossières.;;;Os place provocar a las personas con palabras groseras.;;;;;;;;;x
EVTDESCmisc_traits.10;[From.GetTitledFirstName] is very rude to people in your court...;[From.GetTitledFirstName] est très grossier(e) avec les gens de votre cour…;;;[From.GetTitledFirstName] es muy grosero con la gente de la corte...;;;;;;;;;x
EVTOPTAmisc_traits.10;You find it amusing and do nothing to discourage it.;Vous trouvez cela amusant et ne faites rien pour le(a) décourager.;;;Os resulta divertido y no hacéis nada para desalentarle.;;;;;;;;;x
EVTOOLTIPmisc_traits.11;[From.GetTitledFirstName] makes a habit of it, and become a very rude person.;[From.GetTitledFirstName] en fait une habitude et devient une personne très grossière.;;;[From.GetTitledFirstName] lo toma como hábito y se convierte en una persona muy grosera.;;;;;;;;;x
EVTOPTBmisc_traits.10;Scold [From.GetTitledFirstName] for [From.GetHerHis] behavior, [From.GetSheHe] is embarrassing you!;Gronder [From.GetTitledFirstName] pour son comportement, [From.GetSheHe] vous fait honte ! ;;;¡Reñir a [From.GetTitledFirstName] por su comportamiento, [From.GetSheHe] os está avergonzando! ;;;;;;;;;x
EVTOOLTIPmisc_traits.12;[From.GetTitledFirstName] might not like you scolding [From.GetHerHim], and might not even listen...;[From.GetTitledFirstName] pourrait ne pas aimer être grondé(e) et pourrait même ne pas vous écouter… ;;;A [From.GetTitledFirstName] podría no gustarle ser reñido y tal vez ni os escuche...;;;;;;;;;x
EVTDESCmisc_traits.11;[From.GetTitledFirstName] doesn't mind you being rude to other people.;[From.GetTitledFirstName] ne fait aucune objection à ce que vous soyez grossier avec les autres personnes. ;;;A [From.GetTitledFirstName] no le importa que seáis grosero con otras personas.;;;;;;;;;x
EVTDESCmisc_traits.12;[From.GetTitledFirstName] scolds you for embarrassing [From.GetHerHim]!;[From.GetTitledFirstName] vous reproche de l'avoir mis(e) dans l'embarras !;;;¡[From.GetTitledFirstName] os reprocha haberle avergonzado!;;;;;;;;;x
familyperson;Family Person;Attaché(e) à la famille;;;Familiar;;;;;;;;;x
familyperson_desc;This character will do more than most for their kinsmen.;Ce personnage fera tout ce qu'il peut pour sa parenté.;;;Este personaje hará todo lo que pueda por su familia.;;;;;;;;;x
EVTDESCmisc_traits.13;When playing with the other children my closest of relations are my best friends, I always make sure they win our games!;Lorsque vous jouez avec d'autres enfants, vous semblez favoriser ceux qui sont proches de vous par le sang.;;;Cuando juego con otros niños, mis familiares son mis mejores amigos, ¡y siempre intento que ganemos todos los juegos!;;;;;;;;;x
EVTDESCmisc_traits.14;When [From.GetTitledFirstName] plays with the other children [From.GetSheHe] seems to favor those who are the closest of relations.;Lorsque [From.GetTitledFirstName] joue avec d'autre enfants, [From.GetSheHe] semble favoriser ceux qui lui sont proches par le sang. ;;;Cuando [From.GetTitledFirstName] juega con otros niños, parece favorecer siempre a los que son familia.;;;;;;;;;x
EVTOPTAmisc_traits.14;Explain to [From.GetTitledFirstName] how important family is.;Expliquer à [From.GetTitledFirstName] combien la famille est importante.;;;Explicar a [From.GetTitledFirstName] cuán importante es la familia.;;;;;;;;;x
EVTOOLTIPmisc_traits.15;[From.GetTitledFirstName] will become more family orientated.;[From.GetTitledFirstName] va davantage s’attacher à sa famille.;;;[From.GetTitledFirstName] será una persona más familar.;;;;;;;;;x
EVTOPTBmisc_traits.14;Explain to [From.GetTitledFirstName] that everyone is equal.;Expliquer à [From.GetTitledFirstName] que tout le monde est égal.;;;Explicar a [From.GetTitledFirstName] que todo el mundo es igual.;;;;;;;;;x
EVTOOLTIPmisc_traits.16;[From.GetTitledFirstName] will try to be nicer to other people as well...;[From.GetTitledFirstName] va aussi essayer d'être plus gentil(le) avec les autres personnes…;;;[From.GetTitledFirstName] rratará de ser más gentil con el resto de personas…;;;;;;;;;x
EVTDESCmisc_traits.15;[From.GetTitledFirstName] explained to me how important family is.;[From.GetTitledFirstName] m'a expliqué(e) combien la famille est importante. ;;;[From.GetTitledFirstName] cuán importante es la familia.;;;;;;;;;x
EVTDESCmisc_traits.16;[From.GetTitledFirstName] explained that everyone is equal. I should try to be nicer to other people as well...;[From.GetTitledFirstName] m'a expliqué(e) que tout le monde est égal. Je devrais essayer d'être plus gentil(le) avec les autres…;;;[From.GetTitledFirstName] me ha explicado que todo el mundo es igual. Debería tratar de ser más gentil con el resto de personas...;;;;;;;;;x
selfish;Selfish;Égoïste;;;Egoísta;;;;;;;;;x
selfish_desc;This character is very selfish.;Ce personnage est particulièrement égoïste.;;;Este personaje es muy egoísta.;;;;;;;;;x
EVTDESC420016;While playing with the other children you seem to favor yourself over the other children...;Lorsque vous jouez avec d'autres enfants, vous semblez vous favoriser vous-mêmes au détriments des autres jeunes…;;;Cuando jugáis con otros niños, tendéis siempre a favoreceros a vos mismo en detrimento de los demás...;;;;;;;;;x
EVTDESCmisc_traits.18;You notice [From.GetTitledFirstName] is acting very selfish while playing with other children.;Vous remarquez que [From.GetTitledFirstName] se comporte de façon égoïste lorsqu'[From.GetSheHe] joue avec d'autres enfants.;;;Notáis que [From.GetTitledFirstName] se comporta de forma egoísta cuando juega con otros niños.;;;;;;;;;x
EVTOPTAmisc_traits.18;Who cares.... I have better things to do...;Qui s'en soucie… J'ai des choses plus importantes à faire…;;;¿A quién le importa? Tengo cosas más importantes que hacer..;;;;;;;;;x
EVTOOLTIPmisc_traits.19;[From.GetTitledFirstName] will grow up to be selfish...;[From.GetTitledFirstName] va grandir et devenir égoïste…;;;[From.GetTitledFirstName] crece y se convierte en un egoísta…;;;;;;;;;x
EVTOPTBmisc_traits.18;I will try to explain to [From.GetTitledFirstName] why being selfish is wrong...;Je vais essayer d'expliquer à [From.GetTitledFirstName] pourquoi être égoïste n'est pas bien… ;;;Intentaré explicar a [From.GetTitledFirstName] porque ser egoísta no es bueno...;;;;;;;;;x
EVTOOLTIPmisc_traits.20;[From.GetTitledFirstName] will heed your advice.;[From.GetTitledFirstName] va tenir compte de votre conseil. ;;;[From.GetTitledFirstName] tendrá en cuenta vuestro consejo.;;;;;;;;;x
EVTDESCmisc_traits.19;I think I'm very important to myself! Infact... I'm the most important person in the whole world!;Je pense que je suis très important(e) pour moi-même ! En fait… je suis la personne la plus importante du monde entier !;;;¡Pienso que soy muy importante para mi mismo! De hecho... ¡Soy la persona más importante del mundo entero!;;;;;;;;;x
blind_desc;This character cannot see, due to injury or disease.;Suite à une blessure ou à une maladie, ce personnage a perdu l’usage de ses yeux ;;;Este personaje no puede ver debido a una herida o a una enfermedad.;;;;;;;;;x
ruthless;Ruthless;Impitoyable;;;Despiadado;;;;;;;;;x
ruthless_desc;This character believes that the ends justify the means, and will stop at nothing to achieve their goals.;Ce personnage pense que la fin justifie les moyens et ne reculera devant rien pour atteindre ses objectifs.;;;Este personaje piensa que el fin justifica los medios y no reculará ante nadie para lograr sus objetivos.;;;;;;;;;x
honorable;Honorable;Honorable;;;Honorable;;;;;;;;;x
